before,after,before_path,after_path,label,missing_before,missing_after
034_540_DSC_0017_bef.JPG,034_540_DSC_0033_aft.JPG,images/before\034_540_DSC_0017_bef.JPG,images/after\034_540_DSC_0033_aft.JPG,1,True,True
034_567_DSC_0380_bef.JPG,034_567_DSC_0420_aft.JPG,images/before\034_567_DSC_0380_bef.JPG,images/after\034_567_DSC_0420_aft.JPG,1,True,True
034_568_DSC_0381_bef.JPG,034_568_DSC_0412_aft.JPG,images/before\034_568_DSC_0381_bef.JPG,images/after\034_568_DSC_0412_aft.JPG,6,True,True
034_569_DSC_0379_bef.JPG,034_569_DSC_0390_aft.JPG,images/before\034_569_DSC_0379_bef.JPG,images/after\034_569_DSC_0390_aft.JPG,6,True,True
034_570_DSC_0378_bef.JPG,034_570_DSC_0419_aft.JPG,images/before\034_570_DSC_0378_bef.JPG,images/after\034_570_DSC_0419_aft.JPG,7,True,True
034_571_DSC_0377_bef.JPG,034_571_DSC_0392_aft.JPG,images/before\034_571_DSC_0377_bef.JPG,images/after\034_571_DSC_0392_aft.JPG,3,True,True
034_572_DSC_0382_bef.JPG,034_572_DSC_0406_aft.JPG,images/before\034_572_DSC_0382_bef.JPG,images/after\034_572_DSC_0406_aft.JPG,1,True,True
034_573_DSC_0383_bef.JPG,034_573_DSC_0401_aft.JPG,images/before\034_573_DSC_0383_bef.JPG,images/after\034_573_DSC_0401_aft.JPG,4,True,True
034_574_DSC_0376_bef.JPG,034_574_DSC_0400_aft.JPG,images/before\034_574_DSC_0376_bef.JPG,images/after\034_574_DSC_0400_aft.JPG,7,True,True
034_575_DSC_0369_bef.JPG,034_575_DSC_0384_aft.JPG,images/before\034_575_DSC_0369_bef.JPG,images/after\034_575_DSC_0384_aft.JPG,2,True,True
034_626_DSC_0943_bef.JPG,034_626_DSC_0976_aft.JPG,images/before\034_626_DSC_0943_bef.JPG,images/after\034_626_DSC_0976_aft.JPG,7,True,True
034_630_DSC_0971_bef.JPG,034_630_DSC_0994_aft.JPG,images/before\034_630_DSC_0971_bef.JPG,images/after\034_630_DSC_0994_aft.JPG,3,True,True
034_631_DSC_0973_bef.JPG,034_631_DSC_1001_aft.JPG,images/before\034_631_DSC_0973_bef.JPG,images/after\034_631_DSC_1001_aft.JPG,3,True,True
034_632_DSC_0972_bef.JPG,034_632_DSC_0013_aft.JPG,images/before\034_632_DSC_0972_bef.JPG,images/after\034_632_DSC_0013_aft.JPG,1,True,True
034_633_DSC_0952_bef.JPG,034_633_DSC_0005_aft.JPG,images/before\034_633_DSC_0952_bef.JPG,images/after\034_633_DSC_0005_aft.JPG,4,True,True
034_634_DSC_0955_bef.JPG,034_634_DSC_1006_aft.JPG,images/before\034_634_DSC_0955_bef.JPG,images/after\034_634_DSC_1006_aft.JPG,1,True,True
034_635_DSC_0954_bef.JPG,034_635_DSC_0003_aft.JPG,images/before\034_635_DSC_0954_bef.JPG,images/after\034_635_DSC_0003_aft.JPG,4,True,True
035_541_DSC_0061_bef.JPG,035_541_DSC_0105_aft.JPG,images/before\035_541_DSC_0061_bef.JPG,images/after\035_541_DSC_0105_aft.JPG,4,True,True
035_542_DSC_0072_bef.JPG,035_542_DSC_0096_aft.JPG,images/before\035_542_DSC_0072_bef.JPG,images/after\035_542_DSC_0096_aft.JPG,1,True,True
